Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Qatar,QAT,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.95,99.95,99.95,99.95,99.97,99.97,99.97,99.97,99.97,100,100,100,100,100,
Qatar,QAT,Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,116.0209739,125.360811,144.8823352,165.6523655,266.9978712,418.0963829,558.2374951,625.0424875,566.5865458,514.6513163,595.6767603,687.2612382,553.5135999,629.7517245,723.5662744,727.9179829,
Qatar,QAT,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,100.7511145,109.3507629,105.2784977,103.7680087,95.19242641,88.26309665,92.1466301,91.15264468,88.23691105,91.90803671,90.62350566,83.23265746,82.79907511,74.23175727,84.6459569,74.07411674,58.34132582,57.76262179,57.58350944,61.83807588,75.8786219,71.62037037,76.58752378,71.765986,69.70010596,86.61927063,80.74539304,78.70557396,82.28759292,78.38212409,83.59285957,83.41096491,77.61955542,77.67306524,77.79825961,80.44599638,82.93252279,82.10632755,82.59489761,74.57087954,78.48665509,86.02929617,89.47085145,82.47117338,78.57426057,67.1647732,58.58325248,57.82728575
Qatar,QAT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.84089854,19.56722528,19.89540985,20.10955635,19.64015425,20.71987881,
Qatar,QAT,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000000,307000000,366000000,423000000,471000000,691000000,1759000000,3751000000,,,,,7813000000,10702000000,11729000000,12871000000,11641000000,13152000000,
Qatar,QAT,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000000,307000000,366000000,423000000,471000000,691000000,1759000000,3751000000,,,,,1807000000,5648000000,6616000000,8682000000,8171000000,9089000000,
Qatar,QAT,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122000000,128000000,272000000,285000000,369000000,498000000,760000000,874000000,,,,,1170000000,2857000000,3456000000,4591000000,5035000000,5411000000,
Qatar,QAT,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6006000000,5054000000,5113000000,4189000000,3470000000,4063000000,
Qatar,QAT,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3293000000,4363000000,4996000000,5985000000,7096000000,7182000000,
Qatar,QAT,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.663063429,5.053329462,5.848712401,7.541957515,13.14426386,17.37340767,
Qatar,QAT,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122000000,128000000,272000000,285000000,369000000,498000000,760000000,874000000,,,,,4463000000,7220000000,8452000000,10576000000,12131000000,12593000000,
Qatar,QAT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309000,327000,333000,320000,357000,378000,376000,587000,557000,732000,913000,946000,964000,1405000,1481600,1699500,2056700,2323500,2611900,2839200,2941100,2938200,
Qatar,QAT,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,
Qatar,QAT,Urban population (% of total),SP.URB.TOTL.IN.ZS,85.275,85.693,86.101,86.5,86.78,87.054,87.323,87.588,87.848,88.103,88.354,88.6,88.678,88.755,88.832,88.909,88.985,89.06,89.135,89.21,89.363,89.514,89.663,89.811,89.956,90.1,90.4,91.056,91.671,92.247,92.786,93.291,93.763,94.203,94.614,94.998,95.356,95.659,95.888,96.105,96.311,96.506,96.692,96.868,97.09,97.396,97.671,97.917,98.139,98.336,98.501,98.602,98.697,98.785,98.868,98.945,99.015,99.078
Qatar,QAT,Urban population,SP.URB.TOTL,40407,44064,48443,53385,58635,64100,69722,75584,81875,88873,96760,105810,115755,126246,136538,146178,154688,162484,171222,183160,199972,222124,248722,277946,307159,334344,359731,384567,406830,426061,442074,454785,464612,472490,479783,487772,498048,511401,527796,547267,570418,595332,624301,667019,736772,842342,986850,1164853,1363486,1564309,1752999,1924764,2082080,2223130,2347541,2455359,2544491,2614877
Qatar,QAT,Urban population growth (annual %),SP.URB.GROW,7.629009543,8.664008526,9.474472651,9.714195858,9.380198028,8.911257601,8.407154249,8.072871416,7.994907338,8.20146904,8.502530139,8.941134717,8.983085566,8.675649591,7.837057968,6.822209304,5.658512788,4.91693503,5.238142474,6.739912766,8.781726896,10.50584277,11.31000224,11.10910433,9.993867861,8.480487425,7.318612685,6.676149612,5.627738173,4.618712074,3.689476037,2.834749092,2.137786887,1.681393402,1.531733566,1.651416521,2.084837436,2.645756035,3.155582714,3.622695492,4.143262507,4.274980772,4.751339074,6.618590741,9.945995078,13.39076255,15.83319447,16.58321256,15.74497568,13.73995374,11.38838425,9.347532733,7.856403122,6.554871876,5.445228453,4.49045854,3.565764726,2.728643008
Qatar,QAT,Rural population (% of total population),SP.RUR.TOTL.ZS,14.725,14.307,13.899,13.5,13.22,12.946,12.677,12.412,12.152,11.897,11.646,11.4,11.322,11.245,11.168,11.091,11.015,10.94,10.865,10.79,10.637,10.486,10.337,10.189,10.044,9.9,9.6,8.944,8.329,7.753,7.214,6.709,6.237,5.797,5.386,5.002,4.644,4.341,4.112,3.895,3.689,3.494,3.308,3.132,2.91,2.604,2.329,2.083,1.861,1.664,1.499,1.398,1.303,1.215,1.132,1.055,0.985,0.922
Qatar,QAT,Rural population growth (annual %),SP.RUR.TOTL.ZG,4.245368189,5.303321599,6.103231361,6.341896884,6.953681058,6.511912953,5.995180928,5.655997799,5.582971691,5.788901196,6.085496824,6.525372713,8.210857921,7.906891917,7.065450989,6.041214096,4.885544727,4.14818979,4.468046618,5.961229189,7.183869565,8.905384993,9.712531574,9.504382769,8.399411279,6.875569229,3.90772717,-1.124065801,-2.167656925,-3.174520757,-4.098607288,-4.965463827,-5.66405642,-6.100489149,-6.258692557,-6.149687162,-5.716528497,-4.421005216,-2.500075676,-2.026221862,-1.503582802,-1.359373973,-0.913503743,0.973799192,2.364371307,1.964012551,4.391298974,5.16756792,4.250580614,2.35071118,0.77519768,2.271856377,0.722921108,-0.528899119,-1.715244649,-2.631234764,-3.367766272,-3.944354839
Qatar,QAT,Rural population,SP.RUR.TOTL,6977,7357,7820,8332,8932,9533,10122,10711,11326,12001,12754,13614,14779,15995,17166,18235,19148,19959,20871,22153,23803,26020,28674,31533,34296,36737,38201,37774,36964,35809,34371,32706,30905,29076,27312,25683,24256,23207,22634,22180,21849,21554,21358,21567,22083,22521,23532,24780,25856,26471,26677,27290,27488,27343,26878,26180,25313,24334
Qatar,QAT,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,,,,,86.6,,,,,,,,81.7,77,,,,,,
Qatar,QAT,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
Qatar,QAT,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,56.48017221,57.33758532,58.29097501,59.23885748,60.09650252,60.85344488,61.46630431,61.98069368,62.49812228,63.10336965,63.82246327,64.7058331,65.64216494,66.37514676,66.67360655,66.47670253,65.75254992,64.67389815,63.60063098,62.97136957,63.0075524,63.64761068,64.6039711,65.58669002,66.36579294,66.86042751,67.11163158,67.20044514,67.17517001,67.08402526,66.95904223,66.81046419,66.63309869,66.4249527,66.18424841,65.92176812,65.70272697,65.56909413,65.47613857,65.36387998,65.23111159,64.96213226,64.67234658,64.80333668,65.78285374,67.57221136,69.83797233,72.07428186,73.90355818,75.14426921,75.82715759,76.07337669,76.03807787,75.84276578,75.60830773,75.40349944,75.23387998,75.07328889
Qatar,QAT,"Population, male",SP.POP.TOTL.MA.IN,26763,29484,32796,36560,40605,44808,49077,53486,58249,63655,69895,77274,85685,94413,102480,109296,114302,117993,122172,129288,140995,157938,179209,202977,226609,248106,267059,283815,298119,309841,319023,325695,330178,333165,335617,338479,343168,350538,360400,372213,386342,400742,417563,446227,499196,584407,705630,857419,1026773,1195380,1349478,1484993,1604075,1706821,1795258,1871167,1933363,1981342
